Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/26/2024,06/27/2024,COSTCO WHSE #789,Groceries,Sale,-102.79,
04/12/2024,04/15/2024,GOOGLE ONE,Shopping,Sale,-4.75,
04/01/2024,04/04/2024,HOLIDAY INN EXPRESS,Travel,Sale,-179.85,
05/04/2024,05/07/2024,AMAZON MKTPLACE,Shopping,Sale,-51.62,
06/11/2024,06/12/2024,CHEVRON #98765,Gas,Sale,-71.79,
06/17/2024,06/20/2024,TRADER JOE S #123,Groceries,Sale,-109.03,
06/06/2024,06/09/2024,BUTCHERBOX,Groceries,Sale,-104.81,
04/24/2024,04/27/2024,UBER TRIP,Travel,Sale,-27.05,
04/08/2024,04/11/2024,WHOLE FOODS MARKET #456,Groceries,Sale,-81.59,
06/11/2024,06/14/2024,CVS PHARMACY #456,Health & Wellness,Sale,-30.9,
05/23/2024,05/26/2024,ARCO #54321,Gas,Sale,-40.09,
04/24/2024,04/26/2024,NETFLIX.COM,Entertainment,Sale,-17.25,
05/27/2024,05/28/2024,WALGREENS #2341,Health & Wellness,Sale,-39.52,
04/03/2024,04/06/2024,GOOGLE ONE,Shopping,Sale,-4.86,
04/19/2024,04/22/2024,TARGET #1234,Shopping,Sale,-111.94,
04/23/2024,04/24/2024,COMCAST CABLE,Bills & Utilities,Sale,-80.8,
06/03/2024,06/06/2024,GEICO INS PMT,Bills & Utilities,Sale,-120.86,
06/05/2024,06/07/2024,SAFEWAY #789,Groceries,Sale,-84.95,
06/10/2024,06/12/2024,HOLIDAY INN EXPRESS,Travel,Sale,-172.9,
06/10/2024,06/13/2024,WALGREENS #2341,Health & Wellness,Sale,-22.25,
06/04/2024,06/07/2024,ZELLE TRANSFER,Transfer,Sale,-97.52,
05/06/2024,05/07/2024,CHEVRON #98765,Gas,Sale,-49.34,
05/22/2024,05/23/2024,GRUBHUB,Food & Drink,Sale,-16.61,
05/08/2024,05/10/2024,CHEVRON #98765,Gas,Sale,-50.24,
04/02/2024,04/05/2024,BUTCHERBOX,Groceries,Sale,-118.82,
05/25/2024,05/28/2024,STARBUCKS STORE 03421,Food & Drink,Sale,-14.8,
04/03/2024,04/06/2024,UBER EATS,Food & Drink,Sale,-40.85,
06/01/2024,06/02/2024,STARBUCKS #3421,Food & Drink,Sale,-14.45,
06/04/2024,06/05/2024,ZELLE TRANSFER,Transfer,Sale,-264.65,
05/09/2024,05/11/2024,UBER EATS,Food & Drink,Sale,-25.53,
04/29/2024,04/30/2024,HULU,Entertainment,Sale,-14.16,
06/26/2024,06/28/2024,AMAZON MKTPLACE,Shopping,Sale,-21.14,
04/07/2024,04/09/2024,HOLIDAY INN EXPRESS,Travel,Sale,-110.52,
06/22/2024,06/24/2024,APPLE.COM/BILL,Shopping,Sale,-8.18,
05/22/2024,05/25/2024,ZELLE TRANSFER,Transfer,Sale,-237.03,
04/28/2024,04/28/2024,SPOTIFY USA,Entertainment,Sale,-10.88,
04/06/2024,04/08/2024,PLANET FITNESS,Health & Wellness,Sale,-22.03,
04/03/2024,04/05/2024,COMCAST CABLE,Bills & Utilities,Sale,-61.76,
05/12/2024,05/14/2024,CVS PHARMACY #456,Health & Wellness,Sale,-24.37,
04/12/2024,04/15/2024,GEICO INS PMT,Bills & Utilities,Sale,-132.46,
05/03/2024,05/05/2024,AMAZON MKTPLACE,Shopping,Sale,-29.95,
04/23/2024,04/24/2024,PLANET FITNESS,Health & Wellness,Sale,-20.31,
06/15/2024,06/17/2024,AUTOPAY PAYMENT THANK YOU,Payment,Payment,1200.0,
05/09/2024,05/11/2024,HOLIDAY INN EXPRESS,Travel,Sale,-122.3,
06/13/2024,06/14/2024,PLANET FITNESS,Health & Wellness,Sale,-11.73,
04/14/2024,04/15/2024,STARBUCKS STORE 03421,Food & Drink,Sale,-8.08,
05/17/2024,05/19/2024,COSTCO WHSE #789,Groceries,Sale,-188.64,
